ACT Symbol|Security Name|Exchange|CQS Symbol|ETF|Round Lot Size|Test Issue|NASDAQ Symbol
A|Agilent Technologies, Inc. Common Stock|N|A|N|100|N|A
AA|Alcoa Inc. Common Stock|N|AA|N|100|N|AA
AA$|Alcoa Inc. $3.75 Preferred Stock|A|AAp|N|100|N|AA-
AA$B|Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1|N|AApB|N|100|N|AA-B
AAC|AAC Holdings, Inc. Common Stock|N|AAC|N|100|N|AAC
AADR|WCM BNY Mellon Focused Growth ADR ETF|P|AADR|Y|100|N|AADR
AAMC|Altisource Asset Management Corp Com|A|AAMC|N|100|N|AAMC
AAN|Aaron's, Inc. Common Stock|N|AAN|N|100|N|AAN
AAP|Advance Auto Parts Inc Advance Auto Parts Inc W/I|N|AAP|N|100|N|AAP
AAT|American Assets Trust, Inc. Common Stock|N|AAT|N|100|N|AAT
AAU|Almaden Minerals, Ltd. Common Shares|A|AAU|N|100|N|AAU
AAV|Advantage Oil & Gas Ltd  Ordinary Shares|N|AAV|N|100|N|AAV
AB|AllianceBernstein Holding L.P.  Units|N|AB|N|100|N|AB
ABB|ABB Ltd Common Stock|N|ABB|N|100|N|ABB
ABBV|AbbVie Inc. Common Stock|N|ABBV|N|100|N|ABBV
ABC|AmerisourceBergen Corporation Common Stock|N|ABC|N|100|N|ABC
ABE|Aberdeen Emerging Markets Company Oppotunities Fund, Inc. Common Stock|A|ABE|N|100|N|ABE
ABEV|Ambev S.A. American Depositary Shares (Each representing 1 Common Share)|N|ABEV|N|100|N|ABEV
ABG|Asbury Automotive Group Inc Common Stock|N|ABG|N|100|N|ABG
ABM|ABM Industries Incorporated Common Stock|N|ABM|N|100|N|ABM
ABR|Arbor Realty Trust Common Stock|N|ABR|N|100|N|ABR
ABR$A|Arbor Realty Trust Preferred Series A|N|ABRpA|N|100|N|ABR-A
ABR$B|Arbor Realty Trust Cumulative Redeemable Preferred Series B|N|ABRpB|N|100|N|ABR-B
ABR$C|Arbor Realty Trust Cumulative Redeemable Preferred Series C|N|ABRpC|N|100|N|ABR-C
ABRN|Arbor Realty Trust 7.375% Senior Notes due 2021|N|ABRN|N|100|N|ABRN
ABT|Abbott Laboratories Common Stock|N|ABT|N|100|N|ABT
ABX|Barrick Gold Corporation Common Stock|N|ABX|N|100|N|ABX
AC|Associated Capital Group, Inc. Common Stock|N|AC|N|100|N|AC
ACC|American Campus Communities Inc Common Stock|N|ACC|N|100|N|ACC
ACCO|Acco Brands Corporation Common Stock|N|ACCO|N|100|N|ACCO
ACG|Alliancebernstein Income Fund|N|ACG|N|100|N|ACG
ACH|Aluminum Corporation of China Limited American Depositary Shares|N|ACH|N|100|N|ACH
ACIM|SPDR MSCI ACWI IMI ETF|P|ACIM|Y|100|N|ACIM
ACM|AECOM Common Stock|N|ACM|N|100|N|ACM
ACN|Accenture plc Class A Ordinary Shares (Ireland)|N|ACN|N|100|N|ACN
ACP|Avenue Income Credit Strategies Fund Common Shares|N|ACP|N|100|N|ACP
ACRE|Ares Commercial Real Estate Corporation Common Stock|N|ACRE|N|100|N|ACRE
ACU|Acme United Corporation. Common Stock|A|ACU|N|100|N|ACU
ACV|AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest|N|ACV|N|100|N|ACV
ACW|Accuride Corporation Common Stock|N|ACW|N|100|N|ACW
ACWF|iShares FactorSelect MSCI Global ETF|P|ACWF|Y|100|N|ACWF
ACWV|iShares MSCI All Country World Minimum Volatility Index Fund|P|ACWV|Y|100|N|ACWV
ACY|AeroCentury Corp. Common Stock|A|ACY|N|100|N|ACY
ADC|Agree Realty Corporation Common Stock|N|ADC|N|100|N|ADC
ADGE|American DG Energy Inc. Common Stock|A|ADGE|N|100|N|ADGE
ADK|Adcare Health Systems Inc Common Stock (GA)|A|ADK|N|100|N|ADK
ADK$A|Adcare Health Systems Inc 10.875% Series A Cumulative Redeemable Preferred Stock, no par value per share (GA)|A|ADKpA|N|100|N|ADK-A
ADM|Archer-Daniels-Midland Company Common Stock|N|ADM|N|100|N|ADM
ADPT|Adeptus Health Inc. Common Stock|N|ADPT|N|100|N|ADPT
ADS|Alliance Data Systems Corporation Common Stock|N|ADS|N|100|N|ADS
ADT|ADT Corporation Common Stock|N|ADT|N|100|N|ADT
ADX|Adams Diversified Equity Fund Inc.|N|ADX|N|100|N|ADX
ADZ|DB Agriculture Short ETN due April 1, 2038|P|ADZ|N|100|N|ADZ
AE|Adams Resources & Energy, Inc. Common Stock|A|AE|N|100|N|AE
AEB|AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)|N|AEB|N|100|N|AEB
AED|AEGON N.V. Perp. Cap. Securities (Netherlands)|N|AED|N|100|N|AED
AEE|Ameren Corporation Common Stock|N|AEE|N|100|N|AEE
AEG|AEGON N.V. Common Stock|N|AEG|N|100|N|AEG
AEH|AEGON N.V. Perp. Cap Secs.|N|AEH|N|100|N|AEH
AEK|Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042|N|AEK|N|100|N|AEK
AEL|American Equity Investment Life Holding Company Common Stock|N|AEL|N|100|N|AEL
AEM|Agnico Eagle Mines Limited Common Stock|N|AEM|N|100|N|AEM
AEO|American Eagle Outfitters, Inc. Common Stock|N|AEO|N|100|N|AEO
AEP|American Electric Power Company, Inc. Common Stock|N|AEP|N|100|N|AEP
AER|Aercap Holdings N.V. Ordinary Shares|N|AER|N|100|N|AER
AES|The AES Corporation Common Stock|N|AES|N|100|N|AES
AES$C|AES Corporation (The) Class C Preferred Stock|N|AESpC|N|100|N|AES-C
AET|Aetna Inc. Common Stock|N|AET|N|100|N|AET
AEUA|Anadarko Petroleum Corporation 7.50% Tangible Equity Units|N|AEUA|N|100|N|AEUA
AF|Astoria Financial Corporation Common Stock|N|AF|N|100|N|AF
AF$C|Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%|N|AFpC|N|100|N|AF-C
AFA|American Financial Group, Inc. 5.75% Senior Notes due 2042|N|AFA|N|100|N|AFA
AFB|AllianceBernstein National Municipal Income Fund Inc|N|AFB|N|100|N|AFB
AFC|Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047|N|AFC|N|100|N|AFC
AFCO|American Farmland Company Common Stock|A|AFCO|N|100|N|AFCO
AFG|American Financial Group, Inc. Common Stock|N|AFG|N|100|N|AFG
AFGE|American Financial Group, Inc. 6.25% Subordinated Debentures due 2054|N|AFGE|N|100|N|AFGE
AFGH|American Financial Group, Inc. 6% Subordinated Debentures due 2055|N|AFGH|N|100|N|AFGH
AFI|Armstrong Flooring, Inc. Common Stock|N|AFI|N|100|N|AFI
AFK|Market Vectors-Africa Index ETF|P|AFK|Y|100|N|AFK
AFL|AFLAC Incorporated Common Stock|N|AFL|N|100|N|AFL
AFSD|Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052|N|AFSD|N|100|N|AFSD
AFSI$A|AmTrust Financial Services, Inc. Preferred Series A|N|AFSIpA|N|100|N|AFSI-A
AFSI$B|AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B|N|AFSIpB|N|100|N|AFSI-B
AFSI$C|AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C|N|AFSIpC|N|100|N|AFSI-C
AFSI$D|AmTrust Financial Services, Inc. Depositary Shares, Each Representing 1/40th Interest in a shares of 7.50% Non-Cumulative Preferred Stock, Series D|N|AFSIpD|N|100|N|AFSI-D
AFSI$E|AmTrust Financial Services, Inc. Depositary Shares , Each Representing 1/40 th Interest in a Share of 7.75% Non-Cumulative Preferred Stock, Series E|N|AFSIpE|N|100|N|AFSI-E
AFSS|AmTrust Financial Services, Inc. 7.25% Subordinated Notes due 2055|N|AFSS|N|100|N|AFSS
AFST|AmTrust Financial Services, Inc. 7.50% Subordinated Notes due September 15, 2055|N|AFST|N|100|N|AFST
AFT|Apollo Senior Floating Rate Fund Inc. Common Stock|N|AFT|N|100|N|AFT
AFTY|CSOP FTSE China A50 ETF|P|AFTY|Y|100|N|AFTY
AFW|American Financial Group, Inc. 6 3/8% Senior Notes due 2042|N|AFW|N|100|N|AFW
AG|First Majestic Silver Corp. Ordinary Shares (Canada)|N|AG|N|100|N|AG
AGA|DB Agriculture Double Short ETN due April 1, 2038|P|AGA|N|100|N|AGA
AGC|Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest|N|AGC|N|100|N|AGC
AGCO|AGCO Corporation Common Stock|N|AGCO|N|100|N|AGCO
AGD|Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest|N|AGD|N|100|N|AGD
AGF|DB Agriculture Long ETN due April 1, 2038|P|AGF|N|100|N|AGF
AGG|iShares Core U.S. Aggregate Bond ETF|P|AGG|Y|100|N|AGG
AGGY|WisdomTree Trust WisdomTree Barclays U.S. Aggregate Bond Enhanced Yield Fund|P|AGGY|Y|100|N|AGGY
AGI|Alamos Gold Inc. Class A Common Shares|N|AGI|N|100|N|AGI
AGM|Federal Agricultural Mortgage Corporation Common Stock|N|AGM|N|100|N|AGM
AGM$A|Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock, Series A|N|AGMpA|N|100|N|AGM-A
AGM$B|Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B|N|AGMpB|N|100|N|AGM-B
AGM$C|Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg|N|AGMpC|N|100|N|AGM-C
AGM.A|Federal Agricultural Mortgage Corporation Common Stock|N|AGM/A|N|100|N|AGM.A
AGN|Allergan plc Ordinary Shares|N|AGN|N|100|N|AGN
AGN$A|Allergan plc. 5.50% Mandatory Convertible Preferred Shares, Series A|N|AGNpA|N|10|N|AGN-A
AGO|Assured Guaranty Ltd. Common Stock|N|AGO|N|100|N|AGO
AGO$B|Assured Guaranty Ltd.|N|AGOpB|N|100|N|AGO-B
AGO$E|Assured Guaranty Ltd.|N|AGOpE|N|100|N|AGO-E
AGO$F|Assured Guaranty Ltd.|N|AGOpF|N|100|N|AGO-F
AGQ|ProShares Ultra Silver|P|AGQ|Y|100|N|AGQ
AGR|Avangrid, Inc. Common Stock|N|AGR|N|100|N|AGR
AGRO|Adecoagro S.A. Common Shares|N|AGRO|N|100|N|AGRO
AGU|Agrium Inc. Common Stock|N|AGU|N|100|N|AGU
AGX|Argan, Inc. Common Stock|N|AGX|N|100|N|AGX
AGZ|iShares  Agency Bond ETF|P|AGZ|Y|100|N|AGZ
AHC|A.H. Belo Corporation Common Stock|N|AHC|N|100|N|AHC
AHH|Armada Hoffler Properties, Inc. Common Stock|N|AHH|N|100|N|AHH
AHL|Aspen Insurance Holdings Limited Ordinary Shares|N|AHL|N|100|N|AHL
AHL$A|Aspen Insurance Holdings Limited Perp Pfd Shares (Bermuda)|N|AHLpA|N|100|N|AHL-A
AHL$B|Aspen Insurance Holdings Limited Perp Pref Shs (Bermuda)|N|AHLpB|N|100|N|AHL-B
AHL$C|Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares|N|AHLpC|N|100|N|AHL-C
AHP|Ashford Hospitality Prime, Inc. Common Stock|N|AHP|N|100|N|AHP
AHS|AMN Healthcare Services Inc AMN Healthcare Services Inc|N|AHS|N|100|N|AHS
AHT|Ashford Hospitality Trust Inc Common Stock|N|AHT|N|100|N|AHT
AHT$A|Ashford Hospitality Trust Inc 8.55% Cum Preferred Series A|N|AHTpA|N|100|N|AHT-A
AHT$D|Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock|N|AHTpD|N|100|N|AHT-D
AHT$E|Ashford Hospitality Trust Inc 9.00% Series E Cumulative Preferred Stock|N|AHTpE|N|100|N|AHT-E
AI|Arlington Asset Investment Corp Class A (new)|N|AI|N|100|N|AI
AIB|Apollo Investment Corporation 6.625% Senior Notes due 2042|N|AIB|N|100|N|AIB
AIC|Arlington Asset Investment Corp 6.750% Notes due 2025|N|AIC|N|100|N|AIC
AIF|Apollo Tactical Income Fund Inc. Common Stock|N|AIF|N|100|N|AIF
AIG|American International Group, Inc. New Common Stock|N|AIG|N|100|N|AIG
AIG.W|American International Group, Inc. Warrant expiring January 19, 2021|N|AIG/WS|N|100|N|AIG+
AIII|ACRE Realty Investors, Inc. Common Stock|A|AIII|N|100|N|AIII
AIN|Albany International Corporation Common Stock|N|AIN|N|100|N|AIN
AINC|Ashford Inc. Common Stock|A|AINC|N|100|N|AINC
AIR|AAR Corp. Common Stock|N|AIR|N|100|N|AIR
AIRI|Air Industries Group Common Stock|A|AIRI|N|100|N|AIRI
AIT|Applied Industrial Technologies, Inc. Common Stock|N|AIT|N|100|N|AIT
AIV|Apartment Investment and Management Company Common Stock|N|AIV|N|100|N|AIV
AIV$A|Apartment Investment and Management Company Preferred Series Class A|N|AIVpA|N|100|N|AIV-A
AIV$Z|Apartment Investment and Management Company Class Z Cumulative Preferred Stock|N|AIVpZ|N|100|N|AIV-Z
AIW|Arlington Asset Investment Corp 6.625% Notes due 2023|N|AIW|N|100|N|AIW
AIY|Apollo Investment Corporation 6.875% Senior Notes due 2043|N|AIY|N|100|N|AIY
AIZ|Assurant, Inc. Common Stock|N|AIZ|N|100|N|AIZ
AJG|Arthur J. Gallagher & Co. Common Stock|N|AJG|N|100|N|AJG
AJRD|Aerojet Rocketdyne Holdings, Inc. Common Stock|N|AJRD|N|100|N|AJRD
AJX|Great Ajax Corp. Common Stock|N|AJX|N|100|N|AJX
AKG|Asanko Gold Inc.|A|AKG|N|100|N|AKG
AKO.A|Embotelladora Andina S.A. Common Stock|N|AKO/A|N|100|N|AKO.A
AKO.B|Embotelladora Andina S.A. Common Stock|N|AKO/B|N|100|N|AKO.B
AKP|Alliance California Municipal Income Fund Inc|N|AKP|N|100|N|AKP
AKR|Acadia Realty Trust Common Stock|N|AKR|N|100|N|AKR
AKS|AK Steel Holding Corporation Common Stock|N|AKS|N|100|N|AKS
AL|Air Lease Corporation Class A Common Stock|N|AL|N|100|N|AL
ALB|Albemarle Corporation Common Stock|N|ALB|N|100|N|ALB
ALD|WisdomTree Asia Local Debt Fund ETF|P|ALD|Y|100|N|ALD
ALDW|Alon USA Partners, LP Common Units representing Limited Partner Interests|N|ALDW|N|100|N|ALDW
ALE|Allete, Inc.|N|ALE|N|100|N|ALE
ALEX|Alexander & Baldwin, Inc. Common Stock|N|ALEX|N|100|N|ALEX
ALFA|AlphaClone Alternative Alpha ETF|P|ALFA|Y|100|N|ALFA
ALFI|ETF Series Solutions Trust ETF|P|ALFI|Y|100|N|ALFI
ALG|Alamo Group, Inc. Common Stock|N|ALG|N|100|N|ALG
ALJ|Alon USA Energy, Inc. common stick|N|ALJ|N|100|N|ALJ
ALK|Alaska Air Group, Inc. Common Stock|N|ALK|N|100|N|ALK
ALL|Allstate Corporation (The) Common Stock|N|ALL|N|100|N|ALL
ALL$A|Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A|N|ALLpA|N|100|N|ALL-A
ALL$B|Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053|N|ALLpB|N|100|N|ALL-B
ALL$C|Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C|N|ALLpC|N|100|N|ALL-C
ALL$D|The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D|N|ALLpD|N|100|N|ALL-D
ALL$E|Allstate Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E|N|ALLpE|N|100|N|ALL-E
ALL$F|Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd|N|ALLpF|N|100|N|ALL-F
ALLE|Allegion plc Ordinary Shares|N|ALLE|N|100|N|ALLE
ALLY|Ally Financial Inc. Common Stock|N|ALLY|N|100|N|ALLY
ALLY$A|GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities, Series 2|N|ALLYpA|N|100|N|ALLY-A
ALLY$B|Ally Financial Inc Fixed Rate Floating Rate Perpetual Preferred Stock, Series A|N|ALLYpB/CL|N|100|N|ALLY-B*
ALN|American Lorain Corporation Common Stock|A|ALN|N|100|N|ALN
ALP$O|Alabama Power Company Preferred Stock|N|ALPpO|N|100|N|ALP-O
ALR|Alere Inc. Common Stock|N|ALR|N|100|N|ALR
ALR$B|Alere Inc. Inverness Medical Innovations, Inc. Series B Convertible Perpetual Preferred Stock|N|ALRpB|N|10|N|ALR-B
ALSN|Allison Transmission Holdings, Inc. Common Stock|N|ALSN|N|100|N|ALSN
ALTS|ProShares Morningstar Alternatives Solution ETF|Z|ALTS|Y|100|N|ALTS
ALV|Autoliv, Inc. Common Stock|N|ALV|N|100|N|ALV
ALX|Alexander's, Inc. Common Stock|N|ALX|N|100|N|ALX
AM|Antero Midstream Partners LP Common Units representing limited partner interests|N|AM|N|100|N|AM
AMBR|Amber Road, Inc. Common Stock|N|AMBR|N|100|N|AMBR
AMC|AMC Entertainment Holdings, Inc. Class A Common Stock|N|AMC|N|100|N|AMC
AMCO|Armco Metals Holdings, Inc. Common Stock|A|AMCO|N|100|N|AMCO
AME|AMETEK, Inc.|N|AME|N|100|N|AME
AMFW|AMEC Foster Wheeler plc American Depositary Shares|N|AMFW|N|100|N|AMFW
AMG|Affiliated Managers Group, Inc. Common Stock|N|AMG|N|100|N|AMG
AMH|American Homes 4 Rent Common Shares of Beneficial Interest|N|AMH|N|100|N|AMH
AMH$A|American Homes 4 Rent Participating Preferred Shares Series A|N|AMHpA|N|100|N|AMH-A
AMH$B|American Homes 4 Rent 5% Series B Participating Preferred Shares of Beneficial Interest|N|AMHpB|N|100|N|AMH-B
AMH$C|American Homes 4 Rent Participating Pfd Ser C|N|AMHpC|N|100|N|AMH-C
AMID|American Midstream Partners, LP Common Units representing Limited Partner Interests|N|AMID|N|100|N|AMID
AMJ|JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN|P|AMJ|N|100|N|AMJ
AMLP|Alerian MLP ETF|P|AMLP|Y|100|N|AMLP
AMP|Ameriprise Financial, Inc. Common Stock|N|AMP|N|100|N|AMP
AMPE|Ampio Pharmaceuticals, Inc.|A|AMPE|N|100|N|AMPE
AMRC|Ameresco, Inc. Class A Common Stock|N|AMRC|N|100|N|AMRC
AMS|American Shared Hospital Services Common Stock|A|AMS|N|100|N|AMS
AMT|American Tower Corporation (REIT) Common Stock|N|AMT|N|100|N|AMT
AMT$A|American Tower Corporation (REIT) Pfd Conv Ser A|N|AMTpA|N|100|N|AMT-A
AMT$B|American Tower Corporation (REIT) Depositary Shares, each representing a 1/10th ownership interest in a share of 5.50% Mandatory Convertible Preferred Stock, Series B|N|AMTpB|N|100|N|AMT-B
AMTG|Apollo Residential Mortgage, Inc. Common Stock|N|AMTG|N|100|N|AMTG
AMTG$A|Apollo Residential Mortgage, Inc. Pfd Shs Series A  (US)|N|AMTGpA|N|100|N|AMTG-A
AMU|ETRACS Alerian MLP Index ETN|P|AMU|N|100|N|AMU
AMUB|ETRACS Alerian MLP Index ETN Series B due July 18, 2042|P|AMUB|N|100|N|AMUB
AMX|America Movil, S.A.B. de C.V. American Depository Receipt Series L|N|AMX|N|100|N|AMX
AMZA|InfraCap MLP ETF|P|AMZA|Y|100|N|AMZA
AN|AutoNation, Inc. Common Stock|N|AN|N|100|N|AN
AND|Global X FTSE Andean 40 ETF|P|AND|Y|100|N|AND
ANET|Arista Networks, Inc. Common Stock|N|ANET|N|100|N|ANET
ANF|Abercrombie & Fitch Company Common Stock|N|ANF|N|100|N|ANF
ANFI|Amira Nature Foods Ltd Ordinary Shares|N|ANFI|N|100|N|ANFI
ANGL|Market Vectors Fallen Angel High Yield Bond|P|ANGL|Y|100|N|ANGL
ANH|Anworth Mortgage Asset Corporation Common Stock|N|ANH|N|100|N|ANH
ANH$A|Anworth Mortgage Asset Corporation Series A Preferred Stock|N|ANHpA|N|100|N|ANH-A
ANH$B|Anworth Mortgage Asset  Corporation Preferred Stock Series B 6.25%|N|ANHpB|N|100|N|ANH-B
ANH$C|Anworth Mortgage Asset  Corporation 7.625% Series C Cumulative Redeemable  Preferred Stock|N|ANHpC|N|100|N|ANH-C
ANTM|Anthem, Inc. Common Stock|N|ANTM|N|100|N|ANTM
ANTX|Anthem, Inc. Corporate Units|N|ANTX|N|100|N|ANTX
ANW|Aegean Marine Petroleum Network Inc. Common Stock|N|ANW|N|100|N|ANW
AOA|iShares Core Aggressive Allocation ETF|P|AOA|Y|100|N|AOA
AOD|Alpine Total Dynamic Dividend Fund Common Stock|N|AOD|N|100|N|AOD
AOI|Alliance One International, Inc. Common Stock|N|AOI|N|100|N|AOI
AOK|iShares Core Conservative Allocation ETF|P|AOK|Y|100|N|AOK
AOM|iShares Core Moderate Allocation ETF|P|AOM|Y|100|N|AOM
AON|Aon plc Class A Ordinary Shares (UK)|N|AON|N|100|N|AON
AOR|iShares Core Growth Allocation ETF|P|AOR|Y|100|N|AOR
AOS|A.O. Smith Corporation Common Stock|N|AOS|N|100|N|AOS
AP|Ampco-Pittsburgh Corporation Common Stock|N|AP|N|100|N|AP
APA|Apache Corporation Common Stock|N|APA|N|100|N|APA
APAM|Artisan Partners Asset Management Inc. Class A Common Stock|N|APAM|N|100|N|APAM
APB|Asia Pacific Fund, Inc. (The)|N|APB|N|100|N|APB
APC|Anadarko Petroleum Corporation Common Stock|N|APC|N|100|N|APC
APD|Air Products and Chemicals, Inc. Common Stock|N|APD|N|100|N|APD
APF|Morgan Stanley Asia-Pacific Fund, Inc.|N|APF|N|100|N|APF
APH|Amphenol Corporation Common Stock|N|APH|N|100|N|APH
APHB|AmpliPhi Biosciences Corporation Common Stock|A|APHB|N|100|N|APHB
APLE|Apple Hospitality REIT, Inc. Common Shares|N|APLE|N|100|N|APLE
APO|Apollo Global Management, LLC Class A Common Shares Representing Class A Limitied Liability Company Interests|N|APO|N|100|N|APO
APT|Alpha Pro Tech, Ltd. Common Stock|A|APT|N|100|N|APT
APTS|Preferred Apartment Communities, Inc. Common Stock|N|APTS|N|100|N|APTS
APU|AmeriGas Partners, L.P. Common Stock|N|APU|N|100|N|APU
AR|Antero Resources Corporation Common Stock|N|AR|N|100|N|AR
ARC|ARC Document Solutions, Inc. Common Stock|N|ARC|N|100|N|ARC
ARCO|Arcos Dorados Holdings Inc. Class A Shares|N|ARCO|N|100|N|ARCO
ARCX|Arc Logistic Partners LP Common Units representing limited partner interest|N|ARCX|N|100|N|ARCX
ARDC|Ares Dynamic Credit Allocation Fund, Inc. Common Shares|N|ARDC|N|100|N|ARDC
ARE|Alexandria Real Estate Equities, Inc. Common Stock|N|ARE|N|100|N|ARE
ARE$D|Alexandria Real Estate Equities, Inc. 7.00% Series D Cumulative Convertible Preferred Stock|N|AREpD|N|100|N|ARE-D
ARE$E|Alexandria Real Estate Equities, Inc. Pfd Ser E|N|AREpE|N|100|N|ARE-E
ARES|Ares Management L.P. Common Units representing Limited Partner Interests|N|ARES|N|100|N|ARES
ARG|Airgas, Inc. Common Stock|N|ARG|N|100|N|ARG
ARGT|Global X MSCI Argentina ETF|P|ARGT|Y|100|N|ARGT
ARH$C|Arch Capital Group Ltd. 6.75% PFD sh S C|N|ARHpC|N|100|N|ARH-C
ARI|Apollo Commercial Real Estate Finance, Inc|N|ARI|N|100|N|ARI
ARI$A|Apollo Commercial Real Estate Finance Cumulative Redeemable Perpetual Preferred Stock Series A|N|ARIpA|N|100|N|ARI-A
ARKG|ARK Genomic Revolution Multi-Sector ETF|P|ARKG|Y|100|N|ARKG
ARKK|ARK Innovation ETF|P|ARKK|Y|100|N|ARKK
ARKQ|ARK Industrial Innovation ETF|P|ARKQ|Y|100|N|ARKQ
ARKW|ARK Web x.0 ETF|P|ARKW|Y|100|N|ARKW
ARL|American Realty Investors, Inc. Common Stock|N|ARL|N|100|N|ARL
ARMK|Aramark Common Stock|N|ARMK|N|100|N|ARMK
ARO|Aeropostale Inc Common Stock|N|ARO|N|100|N|ARO
AROC|Archrock, Inc. Common Stock|N|AROC|N|100|N|AROC
ARP|Atlas Resource Partners, L.P. Common Units representing Limited Partner Interests|N|ARP|N|100|N|ARP
ARP$D|Atlas Resource Partners, L.P. CUM RED PERP PDF UNIT CL D %|N|ARPpD|N|100|N|ARP-D
ARP$E|Atlas Resource Partners, L.P. 10.75% Class E Cumulative Redeemable Perpetual Preferred Units|N|ARPpE|N|100|N|ARP-E
ARR|ARMOUR Residential REIT, Inc.|N|ARR|N|100|N|ARR
ARR$A|Armour Residential REIT INC Preferred Series A|N|ARRpA|N|100|N|ARR-A
ARR$B|ARMOUR Residential REIT, Inc. Preferred Series B|N|ARRpB|N|100|N|ARR-B
ARU|Ares Capital Corporation 5.875% Senior Notes due 2022|N|ARU|N|100|N|ARU
ARW|Arrow Electronics, Inc. Common Stock|N|ARW|N|100|N|ARW
ASA|ASA  Gold and Precious Metals Limited|N|ASA|N|100|N|ASA
ASB|Associated Banc-Corp Common Stock|N|ASB|N|100|N|ASB
ASB$B|Associated Banc-Corp Depositary Sh Repstg 1/40th Int Sh Perpetual Pfd Stk Ser B|N|ASBpB|N|100|N|ASB-B
ASB$C|Associated Banc-Corp Depositary shares, each representing a 1/40th ownership interest in a share of 6.125% Non-Cumulative Perpetual Preferred Stock, Series C|N|ASBpC|N|100|N|ASB-C
ASB.W|Associated Banc-Corp Warrants|A|ASB/WS|N|100|N|ASB+
ASC|Ardmore Shipping Corporation Common Stock|N|ASC|N|100|N|ASC
ASEA|Global X Southeast Asia ETF|P|ASEA|Y|100|N|ASEA
ASG|Liberty All-Star Growth Fund, Inc.|N|ASG|N|100|N|ASG
ASGN|On Assignment, Inc. Common Stock|N|ASGN|N|100|N|ASGN
ASH|Ashland Inc. (NEW) Common Stock|N|ASH|N|100|N|ASH
ASHR|Deutsche X-Trackers Harvest CSI 300 China A-Shares ETF|P|ASHR|Y|100|N|ASHR
ASHS|Deutsche X-trackers Harvest CSI 500 China A-Shares Small Cap ETF|P|ASHS|Y|100|N|ASHS
ASHX|Deutsche X-trackers CSI 300 China A-Shares Hedged Equity ETF|P|ASHX|Y|100|N|ASHX
ASM|Avino Silver & Gold Mines Ltd. Common Shares (Canada)|A|ASM|N|100|N|ASM
ASPN|Aspen Aerogels, Inc. Common Stock|N|ASPN|N|100|N|ASPN
ASR|Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock|N|ASR|N|100|N|ASR
AST|Asterias Biotherapeutics, Inc. Common Series A|A|AST|N|100|N|AST
AST.V|Asterias Biotherapeutics, Inc. Warrant (Expiring September 30,2016) When Issued|A|AST/WSw|N|100|N|AST+#
ASX|Advanced Semiconductor Engineering, Inc. Common Stock|N|ASX|N|100|N|ASX
AT|Atlantic Power Corporation Ordinary Shares (Canada)|N|AT|N|100|N|AT
ATE|Advantest Corporation (Kabushiki Kaisha Advantest) ADS American Depositary Shares|N|ATE|N|100|N|ATE
ATEN|A10 Networks, Inc. Common Stock|N|ATEN|N|100|N|ATEN
ATHM|Autohome Inc. American Depositary Shares, each representing one class A ordinary share.|N|ATHM|N|100|N|ATHM
ATI|Allegheny Technologies Incorporated Common Stock|N|ATI|N|100|N|ATI
ATMP|Barclays ETN Plus Select MLP|P|ATMP|N|100|N|ATMP
ATNM|Actinium Pharmaceuticals, Inc. (Delaware) Common Stock|A|ATNM|N|100|N|ATNM
ATO|Atmos Energy Corporation Common Stock|N|ATO|N|100|N|ATO
ATR|AptarGroup, Inc. Common Stock|N|ATR|N|100|N|ATR
ATTO|Atento S.A. Ordinary Shares|N|ATTO|N|100|N|ATTO
ATU|Actuant Corporation Common Stock|N|ATU|N|100|N|ATU
ATV|Acorn International, Inc. ADS|N|ATV|N|100|N|ATV
